text,search_needed,confidence
"i am trying to get several elements from one web. I Choose jsoup to do this. Next, part of code html: [enter image description here][1] [1]: https://i.stack.imgur.com/XCFSc.jpg I need get elements marked with red. The first name i can get with: String url = """"; Document doc = Jsoup.connect(url).get(); Elements links = doc.select(""td.DifFlSb""); for(Element x:links){ System.out.println(x.getElementsByTag(""a"").first().text()); } My problem is with de recolection of the second data, the number. I tried with regular expresions but nothing. The td has not a class or id so i dont know how make it. Thanks and regards.",0,0.85
I have a bash script that creates a tar.gz and encrypts then sends to drive. However I cannot open the .tar.gz afterwards. Here is my process... Bash Script that encrypts. then I download the file and use I then enter the passphrase for my file twice and I now get a file called When I then try and get I have also tried renaming the file .tar and also trying and Any ideas where I am going wrong?,1,0.9
"Hi, I want to build a PacMan game project which is on github (https://github.com/edoren/Pacman) As i understood it needs three library naming STP, janssoon and SFML2.1 . Can any one help me to set the required settings in in order to build and run it? I am using win 8.1 and eclipse neon (c/C++) please give me a step by step guide to install and setup every thing that is required (including the gcc 4.7 , SFML, STP, jansson , eclipse setting and so on.)",0,0.9
After re-running the app in Android Studio Butterknife.bind(this) does not find the views anymore. The only reliable solution I found so far is by Cleaning/Rebuilding Project and run it again. Then it finds the views again until the next re-run. This is incredibly annoying so far and takes a minimum of two minutes for a rebuild. I have the following build.gradle I am also using build tools com.android.tools.build:gradle:2.2.2 With Butterknife.setDebug(true) I get the following: The BaseFragment does the binding and LoginFragment extends it. It looks like this And the stacktrace As I said before the only solution which is reliable at the moment is to do a full clean/rebuild of the whole project. This exact structure worked fine before using the jackCompiler and I can not disable it anymore. Major part of the code depends on it.,0,0.85
i have seen some code where programmers include a for loop inside a for loop.for example Why is this important? Please tell me when do I need to include this nested loop in my code.,1,0.9
"I am a newbie to Android and I am implementing a WebView App where I can open a particular website within the app window. But, In the last line of this code I am getting the error: } I have already declared the 'imgHeader' variable so I don't understand the reason for this error. I also have the correct ids in my XML file:",0,0.92
Let's that we are looking for a function body of foo inside a string or file. Capturing the signature is easy. However is there a regex expression that would capture the body of a function. We do not make any assumptions about the internal structure of the function. It could be something flat like: Or something layered like this: So is there a way to do it?,0,0.9
I need help with creating shapes in html/css to sepreate between one page on a website to another. this is how it should look like : [![enter image description here][1]][1] [1]: https://i.stack.imgur.com/Pjpk5.png there's an image at the top and content at the bottom and i need to draw those shapes help please :),0,0.85
can anyone help me and tell me how to create a gray scale image where one pixel of the image is shown as a square with the size 2 x 2? I already searched for help and found this http://stackoverflow.com/questions/29281358/how-to-create-a-gray-scale-image-from-pixel-values-using-java but i don't know how to create a gray scale with the information that one pixel is shown as a square with the size 2 x 2. thanks!,1,0.9
"I want to get data without using promise shown in here : https://firebase.google.com/docs/firestore/query-data/get-data In cloud function console, I am not getting the data instantly. docRef.get().then(doc => { console.log(""In Then""); console.log('Authorized User Data From Function:', doc.data()); result = doc.data(); // if (!doc.exists) { // console.log('No such document!'); // } else { // console.log('Payment Request Data:', doc.data()); // } }).catch(err => { console.log(""In Catch""); console.log('Error getting document', err); return false; }); // I don't want to use this. This is taking time to complete",0,0.92
how to embed seekbar inside a video using node-fluent-ffmpeg . Ex:-,0,0.9
"The console.log does not log after the return inside the **self.$show** variable: filterDates: function() { var self = this; self.startDay = self.$startDate.val(); self.endDay = self.$endDate.val(); if (self.endDay == 0) { return false } else { self.$targets = $('#mixContainer').find('.mix'); self.$show = self.$targets.filter(function() { self.date = self.$targets.attr('data-date'); return (self.date >= self.startDay) && (self.date <= self.endDay); console.log(""this DOES NOT log"") }); console.log(self.$show +""this WILL log""); // says [object, Object] self.parseFilters(); return self.$show; //THIS DOES NOT WORK console.log(self.$show +""THIS DOES NOT log"") } } I'm not understanding why it does not log nor is is causing any errors. I have the script in context here: http://codepen.io/EricBintner/pen/LNPrZQ And here is my full question on stackoverflow with more details: http://stackoverflow.com/questions/35656818/extending-mixitup-js-to-filter-based-on-dropdown-menu-value-and-date-range",0,0.92
"I had a react native project that was building and running perfectly fine. Then I decided to move it into a sub directory, and I started receiving lots of precompiled header errors: Fair enough, but what's weird is that, if I open up the xcode project and clean / rebuild in there, everything works! Then when I close down the server started by xcode and try to launch it using react-native run-ios it continues to complain about PCH issues. Not sure what I'm missing...",0,0.92
"I am new to Python and building a function to read CSV. I am trying to use the pandas.read_csv() inside my function,and while the code gets compiled-i dont see the dataset (I know its an overkill, but am trying to learn it using a trial and error method). >>> def CSV(filename): dataset=pd.read_csv(filename) I expect that when i run CSV('abc.csv'), it should create a df in my variable explorer. Unfortunately, the function gets compiled, but nothing is there def CSV(filename): dataset=pd.read_csv(filename) CSV('banking.csv') In [28]: Any help is appreciated",0,0.92
"In my team we use Docker containers to locally run our website applications while we do development on them. Assuming I'm working on a Flask app at app.py with dependencies in requirements.txt , a working flow would look roughly like this: Now we have a local server running our application, and we can make changes to the local files and the server will refresh as needed. In the above example, the application end up running as the root user. This isn't a problem unless the application writes files back into the working directory. If it does then we could end up with files (e.g. something like cache.sqlite or debug.log ) in our working directory owned by root . This has caused a number of problems for users in our team. For our other applications we've solved this by running the application with the host user's UID and GID - e.g. for a Django app: In this case, the application will be running as a non-existent user with ID 1000 inside the container, but any files written to the host directory end up correctly owned by the robin user. This works fine in Django. However, Flask refuses to run as a non-existent user (in debug mode): Does anyone know if there's any way that I could either: Make Flask not worry about the unassigned user-id, or Somehow dynamically assign the user ID to a username at runtime, or Otherwise allow the docker application to create files on the host as the host user? The only solution I can think of right now (super hacky) is to change the permissions of /etc/passwd in the docker image to be globally writeable, and then add a new line to that file at runtime to assign the new UID/GID pair to a username.",1,0.9
"I get the following error when assembling my uber jar: I am not up to date with java technology, but assume I cannot simply discard one of these classes. Can someone tell me what mergeStrategy I can use to safely compile the uber jar?",0,0.92
"When I tried execution my file.rb in 'CMD' using ""> ruby myfile.rb"" wrote code in notepad++.. It shows error message as: C:/Ruby200-x64/lib/ruby/2.0.0/rubygems/core_ext/kernel_require.rb:135:in `require': `require ""watir-webdriver""` is deprecated. Please, use `require ""watir""`. TestingTraining.rb:7:in ` ': undefined local variable or method `watir' for main:Object (NameError) I tried updating Bundler / Watir / Watir-webdriver and used them in file to..",0,0.92
I have the following snippet of code and I would like to make the image faded such that it does not interfere with other items in the container. Is there a filter that could accomplish this?,0,0.85
"How install Bootstrap in new angular 8 I tried many times, and it did n work I use this articel [a link] https://ng-bootstrap.github.io/#/getting-started",0,0.9
"I am using a JS function to read from a JSON formatted like so: } } From this file I am creating a new object with the date in ""2018-12-28"" format and the number of ""20"". Here is the function: The problem is that the function is outputting the date a month behind (""2018-11-28"" as opposed to ""2018-12-28"") and I cannot for the life of me figure out why. Any help greatly appreciated.",0,0.85
"How to add minutes in scala with the below format import java.text.SimpleDateFormat import java.util.Calendar val cal = Calendar.getInstance().getTime() //val cal = Calendar.getInstance() // create the date/time formatters val dayFormat = new SimpleDateFormat(""dd"") val monthFormat = new SimpleDateFormat(""MM"") val yearFormat = new SimpleDateFormat(""yyyy"") val hourFormat = new SimpleDateFormat(""HH"") val minuteFormat = new SimpleDateFormat(""mm"") val secondFormat = new SimpleDateFormat(""ss"") val year = yearFormat.format(cal); val month = monthFormat.format(cal); val day = dayFormat.format(cal); val hour = hourFormat.format(cal); val minute = minuteFormat.format(cal); val second = secondFormat.format(cal); val AxedaRecvdDt = year + ""-"" + month + ""-"" + day + ""T"" + hour + "":"" + minute + "":"" + second + ""Z""",0,0.9
"below is my hello world program i have written in nano editor. when i compiled it, i got these many errors. please help me.",0,0.92
We are making contenteditable editor. Wondering how to stop extensions like grammarly (if enabled) on editor page using javascript as these extensions insert their own html in the editor itself. It's giving us lot of problems while saving the data. Checked Medium editor and extnesion/add-on doesn't work over there. Any reference or solution to this kind of problem? Searched a lot but couldn't find a solution for it. Thanks in advance,1,0.9
"Very confused here, I have this code: for some reason my temp variable is being saved as 0 which means my label text is changed to 0 when I'm expecting 10, I have the same issue when using doubles instead. What has gone wrong?",1,0.9
"I'm trying to save first an ArrayList (countains some rules in String), when I'm clicking to the button save and load it when I push Load. i just have this for now.. : aff.getButtonSauvegarder().addActionListener(new ActionListener(){ public void actionPerformed(ActionEvent event){ //We check if we have at least one rule into the arraylist try { if(!regles.getListeRegles().isEmpty()) { PrintWriter pw = new PrintWriter(new FileOutputStream(fileName)); pw.println(regles.toStringList()); } else { writeHistorique(""No rules found..""); } } catch (FileNotFoundException e) { e.printStackTrace(); } } }); For the save one, I also tried but can't figure it out.. Cordially",0,0.92
"I'm trying to create a friendlist program in Java. However, I have to concurrently add a user (object) to two array list. Is there any way to do so? My current code is as such but it doesn't seem correct.",1,0.9
"Here Is my ajax code: How can I get marked value from other page? mysql_query(""UPDATE `users` SET credits=credits-**something** WHERE user_id="".$_SESSION['user']);",1,0.9
"Recently I moved my website from localhost to a url domain, and now it keeps showing the errors above. The lines with problems are shown bellow. I think it's because the sintax that I used is from a more recent version of PHP, but I can't find any specific documentation for previous versions. What is the equivalent of those lines of code to PHP < 5.4? Can anybody think of any other reason the code suddenly stopped working? Sorry about my bad english...",0,0.92
"I know what it does, and it is a format specifier. but I have no clue on how this works. It gets the last input, and just doesn't save it. But how?",0,0.85
"So i have a short code for of my html and javascript, i wanted to write a code where it reverses the input words, for example input = hello, output = olleh This text here function go(){ var input = document.getElementById(""input"").innerHTML; var output =document.getElementById(""input""); var result= """"; for(var i = input.length; i>=0; i--){ result+=input[i]; } output.innerHTML = result; } onload = go;` everything works fine but the output have a undefined in front of my output which looks like this: undefinedereh txet sihT, please how do i make the undefined go away?",0,0.92
i put twice diferent data // output is :,0,0.85
"Seeking confirmation or clarification If I have two interfaces. What is the ""proper"" way to create a merge of those two interfaces. Foo Bar IFooBar It works but it feels weird, like I am doing it wrong with the empty IFooBar. Am I doing this correctly? I also noticed that this also works: I have an illogical aversion to using type yet, it is much cleaner.",0,0.85
COPY/ADD statement requires 2 parameters. How can I add any file to current workdir that has been set in base image? Sure I can add WORKDIR statement before COPY to explicitly declare it. But that would be problematic if the workdir in company/app changes.,1,0.9
"I'm experiencing the problem concerning getSystemService method, as the Android Studio IDE keeps telling me it just cannot resolve this method. As far as I've read it might come out from the fact, that my class doesn't contain activity. I was reading related topics about getSystemService issue, but I couldn't find any matching solution at all. I place my code above The bold one of the class above is the one I'm trying to figure out Could You possibly tell me how it should be done to avoid this matter? Thanks!",0,0.85
I can replace the local function with an anonymous function and it works but re sharper says that I should convert it to a local function. Why is this not allowed?,0,0.85
"I have a table users CREATE TABLE `users` ( `ID` bigint(20) NOT NULL AUTO_INCREMENT, `name` varchar(100) NOT NULL, `password` varchar(25) NOT NULL, `email` varchar(100) DEFAULT NULL, `contact` varchar(50) NOT NULL, `dob` varchar(100) DEFAULT NULL, `gender` varchar(50) DEFAULT '', `address` varchar(100) DEFAULT '', `city` varchar(100) DEFAULT '', `state` varchar(100) DEFAULT '', `pin` varchar(100) DEFAULT '', `country` varchar(100) NOT NULL DEFAULT 'India', `pic` varchar(255) DEFAULT NULL, `gst_number` varchar(50) DEFAULT NULL, `utype` varchar(20) NOT NULL DEFAULT 'user', `creating_date` datetime NOT NULL, `status` char(1) DEFAULT '1', PRIMARY KEY (`ID`), UNIQUE KEY `email` (`email`) ); I get multiple set ids using some criteria from the above table; say id-(1,2) using criteria1 id-(1,3) using criteria2 id-(3,5) using criteria3 now I want to display the name, city and CriteriaApplicable in a single query such that I will get the unique row desired output like id name criteriaApplicable 1 Rahul criteria1, criteria2 2 Tarun criteria2 3 Rishabh criteria2,criteria3 5 Krishna criteria3",1,0.9
"try to learn Twig and got next sample {{ random(['1', '2', '3']) }} {% if random.1 %} {% elseif random.2 %} {% else %} {% endif %} But result is always 3.jpg Someone the right code ?",0,0.9
"I am trying out IntelliJ. I have installed the Python plugin, and IdeaVim. I cannot navigate properly across Jupyter Notebook cells using hj . I mean, on normal mode, I cannot go to the next (or previous) cell, even if there is one, using hj . Is there a way to do it without the mouse, possibly rebindable? I have read the tutorial and tried to find something in the program, but could not.",0,0.9
"Our database name is cab and table is Cab. And when I try to insert data into Table Cab, it generates an error that **ERROR: relation ""cab"" does not exist** Query which we generated for insertion: insert into Cab (Cab_id, Cab_no, Cab_type, Driver_id, Vendor_id) values (80, 'WE-93-BM-9769', 'Teal', 47, 64);",0,0.92
"i want to check a string whether it is matching a pattern or not using jquery match and regular expression. For example, i want to check a string named **business_name** which is matching a pattern of **xxx/xxx/xxx** means string seperated by 3 slashes. var business_name = 'AA/Sep-2016/BB'; if (business_name.match(**regular expression**) { alert('Matching'); }else{ alert('Not Matching'); } check this string matches the pattern xx/xx/xx, it will return true. **What will be the regular expression i want to put**",0,0.9
I have a basic table with scrollable body. Doing that I had to set thead and tbody display:block and I also set the width for th and td. For some reason the first column th doesn't line up with the first column tds. Can anyone tell me what causes that? CSS Here is the Fiddle,0,0.85
"So i'm trying to write a program that will ask for your problem, search for a keyword in that query and then output a solution if certain keywords are found. This is the code: def keyword_searcher(): user_query = input(""Enter your problem:\n"") with open(""user_query.txt"", ""a+"") as query: query.write(user_query.lower()) for line in query: for word in line.split(): if word == ""backlight"" or ""display"" or ""cracked"" or ""touchscreen"": f = open(""Solutions1.txt"", ""r"") solution_one = f.read() print (""Keyword for screen problem found:\n"") print (solution_one) f.close() elif word == ""battery"" or ""charger"" or ""usb"" or ""charge"": f_two = open(""Solutions2.txt"", ""r"") solution_two = f_two.read() print (""Keyword for battery problem found:\n"") print(solution_two) f.close() elif word == ""virus"" or ""hacked"" or ""infected"" or ""antivirus"": f_three = open(""Solutions3.txt"", ""r"") solution_three = f_three.read() print (""Keyword for virus problem found:\n"") print (solution_three) else: print (""Please be more specific\n"") keyword_searcher() But when I run it, I input my problem but then nothing gets outputted. Can someone tell me why?",1,0.9
"As noted in this answer by Sam Roberts and this other answer by gnovice , MATLAB's colon operator ( start:step:stop ) creates a vector of values in a different way that linspace does. In particular, Sam Roberts states: However, offical documentation about this from The MathWorks has been deleted from their site. If Sam's description is correct, wouldn't the errors in the step sizes be symmetric? Interesting things to note about the colon operator: Its values depend on its length: It can generate repeated values if they are rounded: There is a tolerance for the last value, if the step size creates a value just above the end, this end value is still used:",0,0.92
Scrolling while keeping j or k pressed is too slow. Doing 10j multiple times isn't ideal either. How can I go faster while keeping a key pressed ? I'm using vim for vscode but I imagine the solution probably applies there too.,0,0.9
"Firstly, i have created a registration form in jsp and then by using servlet by have retrieved those values In servlet, i have written code to create JSON file and trying to save in that file.. But couldn't able to :-( Can anyone may help me out? can u say what to write code in servlet? Can i use request dispatcher to forward those values to next page? totally in confusion... plzzzzzzz help me ? `File f=new File(""C:\\Users\\marslab4\\workspace\\Registration\\WebContent\\sample2.json""); f.createNewFile(); //out.println(""json""); /*FileWriter filewriter = new FileWriter(f, true); filewriter.write(""first name:"" + fname); filewriter.write(""last name:"" + lname); filewriter.write(""user name:"" + uname); filewriter.write(""email:"" + email); filewriter.write(""password:"" + pswd); filewriter.write(""confirm password:"" + repswd); filewriter.write(""phonenumber:"" + phonenumber); filewriter.write(""security question:"" + SecurityQuestion); filewriter.write(""answer"" + tarea); filewriter.flush(); filewriter.close(); */` //saving in JSON form JSONObject json=new JSONObject(); JSONArray jarray=new JSONArray(); JSONObject details; try { for(int i=0;i<10;i++) { details = new JSONObject(); details.put(""firstname:"",fname); details.put(""lastname:"",lname); details.put(""username:"",uname); details.put(""email:"",email); details.put(""password:"",pswd); details.put(""confirm password:"",repswd); details.put(""phonenumber:"",phonenumber); details.put(""security question:"",SecurityQuestion); details.put(""answer:"",tarea); jarray.put(details); } json.put(""details"",jarray); } catch(JSONException e) { out.print(""unable to save in JSON File""); e.printStackTrace(); } response.setContentType(""application/json""); response.getWriter().write(json.toString());",0,0.92
"I filtered this tag with data = soup.findAll('div',{'id':'responseDiv'}) and got this. {""valid"":""true"",""isinCode"":null,""lastUpdateTime"":""29-DEC-2016 12:19:23"",""ocLink"":""/marketinfo/sym_map/symbolMapping.jsp?symbol=NIFTY&instrument=-&date=-&segmentLink=17&symbolCount=2"",""tradedDate"":""29DEC2016"",""data"":[{""change"":""18.65"",""sellPrice1"":""8,050.90"",""buyQuantity3"":""75"",""sellPrice2"":""8,050.95"",""buyQuantity4"":""225"",""buyQuantity1"":""750"",""ltp"":""-"",""buyQuantity2"":""150"",""sellPrice5"":""8,051.15"",""sellPrice3"":""8,051.00"",""buyQuantity5"":""675"",""sellPrice4"":""8,051.05"",""underlying"":""NIFTY"",""bestSell"":""-"",""annualisedVolatility"":""16.61"",""optionType"":""-"",""prevClose"":""8,031.35"",""pChange"":""0.23"",""lastPrice"":""8,050.00"",""lowPrice"":""8,025.00"",""strikePrice"":""-"",""premiumTurnover"":""-"",""numberOfContractsTraded"":""54,112"",""underlyingValue"":""8,055.20"",""openInterest"":""1,03,46,700"",""impliedVolatility"":""-"", ""vwap"":""8,046.98"" ,""totalBuyQuantity"":""5,20,350"",""openPrice"":""8,028.00"",""closePrice"":""0.00"",""bestBuy"":""-"",""changeinOpenInterest"":""-2,11,050"",""clientWisePositionLimits"":""29320076"",""totalSellQuantity"":""9,75,675"",""dailyVolatility"":""0.87"",""sellQuantity5"":""225"",""marketLot"":""75"",""expiryDate"":""29DEC2016"",""marketWidePositionLimits"":""-"",""sellQuantity2"":""150"",""sellQuantity1"":""75"",""buyPrice1"":""8,050.00"",""sellQuantity4"":""150"",""buyPrice2"":""8,049.80"",""sellQuantity3"":""450"",""buyPrice4"":""8,049.30"",""buyPrice3"":""8,049.35"",""buyPrice5"":""8,049.15"",""turnoverinRsLakhs"":""3,26,578.64"",""pchangeinOpenInterest"":""-2.00"",""settlementPrice"":""8031.35"",""instrumentType"":""FUTIDX"",""highPrice"":""8,060.00""}],""companyName"":""Nifty 50"",""eqLink"":""""} ] I want to extract the text in bold. I just converted the whole thing to string and called by index. I am sure there is a proper way to convert resultset",1,0.9
I am looking to recreate the graph below: I can't figure out for the life of me how to put the charts above each other like this. Any help would be much appreciated! Here's a sample of the data for two of the airports:,0,0.9
"I started to learn python and I am doing small projects to help in my day to day activities. Now I am trying the following script to calculate seconds like a countdown - 314 seconds on every for, but I don't understand how to get the new value: counter = 1 currenttime = 2000 while counter <=5: counter = counter + 1 newtime = currenttime - 314 print arty In this case, it starts with 2000 - 314, it prints the newtime 1686, but now I want the next calculation to be with the new currenttime (1686 - 314) and keep going.",1,0.9
How to recover from the following error that started happening after a server crash? Zookeeper won’t start and the following message is showing repeatedly on the log. thanks IPVP,0,0.92
"My task is to update the content of html (e.g., change the text, font, color, images). The tester doesn't know anything about html, so she cannot open the html file herself to change. Each time, she receives feedbacks from the client, she comes back to me and asks me to change (even just a little correction). Is there any tool that allows to update the content of html in an easy way? This task takes me a lot of time and get me down. Thanks",1,0.9
"I am trying to only display data after a certain static word (in) Example: returns the following: I only want the data after the ""in"" in this scenario. However the XYZ/LMNOP is different in almost every case so I cannot simply call out that section of the string.",0,0.9
"I have an EditText with predefined words, Example: Type something here: blahblah How do I make this EditText so they cannot delete the ""Type something here:"" part but still input a response without using a seperate TextView? Thank you.",0,0.9
"I am in mobile space for quite some time and we are having native Android and iOS app already. Now our company is planning to enhance our Mobile Site and our team has chosen Angular 2 + TypeScript + Ionic 2. With great difficulty we have completed our registration form development in Ionic + Angular. Now I came to know about NativeScript to develop Hybrid Apps without webview and since it uses the native UI component people are saying that the look & feel and the performance of the App will be good. I am little bit confused to choose one 1. Angular + TypeScript + Ionic (html, js, css) or 2. Angular + TypeScript + NativeScript (xml, js, css) Also our company's long term plan is to maintain a single source for both iOS, Android and Mobile Site Please help me. Thanks",1,0.9
"I just recently started to study Java and faced with such a problem. How can I read a .txt file and skip or delete a specific piece of text? In my case, the section to be deleted always looks like this: 1) Begin with string: ======= (80 equals ""="" characters without spaces) 2) End with the same string: ======= (80 equals ""="" characters without spaces) 3) Between these lines contains meta-information, which I need to delete or skip while reading, along with the lines of the beginning and end of this section For example: file.txt contains: I need to get only strings: The maximum Java version to run is 8. Thanks in advance for your help!",1,0.9
"I'm in the process of learning C++ and was wondering about the graphical implications of C++. I know Chrome was developed in C++, but I don't see how to replicate it or create any sort of GUI. How is Chrome programmed for the UI?",1,0.9
